No	Species	Species_ID	Functional_group	Family	Order	Sex	k	Linf_cm	Type_L	t0_yr	M_m	F_m	Z_m	M_method	Length_at_first_capture_cm	Length_at_recruitment_cm	L50_female_cm	A50_female_yr	Lifespan_yr	L50_Theo_cm	Exploited	In_ECS.SCS	Questionable	note	Ref_author	Ref_year	a_LW	b_LW	c_LW	note_LW	Sample_size	Growth_curve_fitting
11	Trichiurus_lepturus	1	Benthopelagic	Trichiuridae	Perciformes	M	0.41	64.5	TL	NA	0.8	1.49	2.29	Pauly	32.1	NA	NA	NA	NA	43	Yes	Yes	No	NA	lngles_and_Pauly	1984	NA	NA	NA	NA	3128	Length_based
12	Trichiurus_lepturus	1	Benthopelagic	Trichiuridae	Perciformes	B	0.7	78	TL	NA	1.08	1.89	2.97	Pauly	38.2	NA	NA	NA	NA	52	Yes	Yes	No	NA	lngles_and_Pauly	1984	NA	NA	NA	NA	11993	Length_based
13	Trichiurus_lepturus	1	Benthopelagic	Trichiuridae	Perciformes	B	0.29	145	TL	-0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	96.66666667	Yes	Yes	No	NA	Naracimham	1976	NA	NA	NA	NA	20562	Length_based
14	Trichiurus_lepturus	1	Benthopelagic	Trichiuridae	Perciformes	B	0.28	114.4	TL	-0.0564	0.54	0.81	1.34	Pauly	39.7	20.9	52.9	NA	NA	76.26666667	Yes	Yes	No	NA	Ghosh	2013	0.0003021	3.2209	0	female	3089	Length_based
15	Trichiurus_lepturus	1	Benthopelagic	Trichiuridae	Perciformes	B	0.6117	106.825	TL	-0.1399	0.8934	1.5236	2.417	Pauly	NA	NA	42.5	NA	NA	71.21666667	Yes	Yes	No	NA	Reuden	1997	0.000223	3.9863	0	female	5976	Length_based
16	Trichiurus_lepturus	1	Benthopelagic	Trichiuridae	Perciformes	B	0.15	131.6	TL	-0.074	0.34	0.18	0.52	Pauly	59.8	26.9	61.2	NA	NA	87.73333333	Yes	Yes	No	NA	Ghosh	2013	0.0002254	3.2632	0	female	3146	Length_based
17	Trichiurus_lepturus	1	Benthopelagic	Trichiuridae	Perciformes	B	0.68	127.3	TL	0	0.93	2.538	3.468	Pauly	68.3	65.4	75	NA	NA	84.86666667	Yes	Yes	No	NA	Khan	2006	0.0001429	3.352	0	NA	NA	Length_based
18	Trichiurus_lepturus	1	Benthopelagic	Trichiuridae	Perciformes	B	0.50335	129.7	TL	0.0011125	1.05	0.91	1.96	Cushing	NA	NA	NA	NA	NA	86.46666667	Yes	Yes	No	NA	Chakraborty	1990	NA	NA	NA	NA	12383	Length_based
19	Trichiurus_lepturus	1	Benthopelagic	Trichiuridae	Perciformes	B	0.29	134.1	TL	-0.0527	0.51	0.93	1.44	Pauly	14.11	NA	NA	NA	NA	89.4	Yes	Yes	No	NA	Ghosh	2009	0.00006518	3.53745	0	NA	6409	Length_based
20	Trichiurus_lepturus	1	Benthopelagic	Trichiuridae	Perciformes	B	0.13	131.25	TL	-0.0777	0.31	0.13	0.44	Pauly	32.04	NA	NA	NA	NA	87.5	Yes	Yes	No	NA	Avinash	2014	4.72E-05	3.61631	0	NA	1008	Length_based
21	Trichiurus_lepturus	1	Benthopelagic	Trichiuridae	Perciformes	B	0.33	100.28	TL	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	66.85333333	Yes	Yes	No	NA	Pethiyagoda	2006	NA	NA	NA	NA	859	Length_based
22	Trichiurus_lepturus	1	Benthopelagic	Trichiuridae	Perciformes	B	0.36	100.28	TL	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	66.85333333	Yes	Yes	No	NA	Pethiyagoda	2006	NA	NA	NA	NA	1615	Length_based
23	Trichiurus_lepturus	1	Benthopelagic	Trichiuridae	Perciformes	B	0.399	127.4	TL	-0.9815	NA	NA	NA	NA	NA	NA	79	NA	NA	84.93333333	Yes	Yes	No	NA	Al_Nahdi	2009	0.0002	3.3189	0	NA	378	Length_based
24	Trichiurus_lepturus	1	Benthopelagic	Trichiuridae	Perciformes	B	0.292	146.8	TL	0.249	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.86666667	Yes	Yes	No	NA	Torres	1991	NA	NA	NA	NA	NA	NA
25	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.52	26	TL	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.33333333	Yes	Yes	Yes	no_paper	NA	NA	NA	NA	NA	NA	NA	NA
26	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	1.39	25.6	TL	-0.1	2.11	7.3	9.4	Pauly	NA	NA	NA	NA	NA	17.06666667	Yes	Yes	No	NA	Pitcher	1997	0.007812	3.2	0	NA	NA	NA
27	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.8	27	TL	NA	1.59	5.3	6.89	Pauly	16.8	NA	NA	NA	NA	18	Yes	Yes	No	NA	lngles_and_Pauly	1984	NA	NA	NA	NA	12472	Length_based
28	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.54	30	TL	NA	1.19	0.87	2.06	Pauly	15.4	NA	NA	NA	NA	20	Yes	Yes	No	NA	lngles_and_Pauly	1984	NA	NA	NA	NA	7034	Length_based
29	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.69	26.9	TL	NA	1.44	2.9	4.34	Pauly	15.6	NA	NA	NA	NA	17.93333333	Yes	Yes	No	NA	lngles_and_Pauly	1984	NA	NA	NA	NA	11083	Length_based
30	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.73	26	TL	NA	1.51	2.18	3.69	Pauly	18.2	NA	NA	NA	NA	17.33333333	Yes	Yes	No	NA	lngles_and_Pauly	1984	NA	NA	NA	NA	7084	Length_based
31	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.45	33	TL	NA	1.03	1.59	2.62	Pauly	15.4	NA	NA	NA	NA	22	Yes	Yes	No	NA	lngles_and_Pauly	1984	NA	NA	NA	NA	9316	Length_based
32	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.36	33.7	TL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.46666667	Yes	Yes	No	no_paper	Jabat	1988	NA	NA	NA	NA	NA	NA
33	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.9	28.26086957	TL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.84057971	Yes	Yes	No	NA	Pauly	1996	NA	NA	NA	NA	NA	NA
34	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.95	26.55	TL	NA	1.8	2.13	3.73	Pauly	20.72	NA	NA	NA	NA	17.7	Yes	Yes	No	NA	Dwiponggo	1986	NA	NA	NA	NA	525	Length_based
35	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	1.15	27	TL	NA	2.03	6.18	8.21	Pauly	17.32	NA	NA	NA	NA	18	Yes	Yes	No	NA	Dwiponggo	1986	NA	NA	NA	NA	1044	Length_based
36	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	1.18	27	TL	NA	2.06	4.62	6.68	Pauly	13.76	NA	NA	NA	NA	18	Yes	Yes	No	NA	Dwiponggo	1986	NA	NA	NA	NA	881	Length_based
37	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.9	30.86956522	TL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.57971015	Yes	Yes	No	no_paper	Widodo	1988	NA	NA	NA	NA	NA	NA
38	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.82	26.88043478	TL	NA	NA	NA	NA	NA	NA	NA	14.3	NA	NA	17.92028985	Yes	Yes	No	NA	Ambar_Prihartini	2006	0.042	3.027	0	NA	504	Length_based
39	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.63	27.9673913	TL	NA	NA	NA	NA	NA	NA	NA	15.4	NA	NA	18.64492753	Yes	Yes	No	NA	Ambar_Prihartini	2006	0.0918	2.91	0	NA	756	Length_based
40	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	1.1	23.5	TL	NA	2.07	2.38	4.45	Pauly	NA	NA	NA	NA	NA	15.66666667	Yes	Yes	No	NA	Mansor_and_Abdullah	1995	0.008487797	3.052	0	NA	NA	Length_based
41	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	1.08	24.1	TL	NA	2.03	3.23	5.23	Pauly	NA	NA	NA	NA	NA	16.06666667	Yes	Yes	No	NA	Mansor_and_Abdullah	1995	0.008487797	3.052	0	NA	NA	Length_based
42	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.56	28.4	TL	NA	1.26	0.13	1.29	Pauly	NA	NA	NA	NA	NA	18.93333333	Yes	Yes	No	NA	Mansor_and_Abdullah	1995	0.008487797	3.052	0	NA	NA	Length_based
43	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.86	32.2	TL	NA	1.1	2.09	3.7	Pauly	NA	NA	NA	NA	NA	21.46666667	Yes	Yes	No	NA	Mansor_and_Abdullah	1995	0.008487797	3.052	0	NA	NA	Length_based
44	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.1858	26	TL	-0.5	NA	NA	NA	NA	NA	NA	13	NA	NA	17.33333333	Yes	Yes	No	NA	Sreenivasan	1982	NA	NA	NA	NA	7894	Length_based
45	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.8	29	TL	-0.044	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.33333333	Yes	Yes	No	NA	Balasubramanian	2000	1.36E-02	2.9251	0	NA	456	Length_based
46	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	1.08	23.23	TL	-0.08	2	4.75	6.65	Pauly	NA	NA	NA	NA	NA	15.48666667	Yes	Yes	No	NA	Murty	1991	0.0029655	3.40764	0	NA	8984	Length_based
47	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	1.42	24	TL	NA	2.63	5.12	7.75	Pauly	NA	NA	NA	NA	NA	16	Yes	Yes	No	NA	Jaiswar	2001	NA	NA	NA	NA	3440	Length_based
48	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	1.237	27.7	TL	-0.3443	6.66	2.1	4.56	Pauly	NA	NA	NA	NA	NA	18.46666667	Yes	Yes	No	NA	Poojary	2011	1.92E-03	3.29	0	NA	9827	Length_based
49	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.95	25.6	TL	-0.00095	4.61	1.81	2.8	Pauly	NA	NA	NA	NA	NA	17.06666667	Yes	Yes	No	NA	Panda	2012	NA	NA	NA	NA	NA	Length_based
50	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.71	22.1	TL	NA	1.35	1.48	2.83	Pauly	NA	NA	13.7	1.36	NA	14.73333333	Yes	Yes	No	NA	Reuben	1992	0.006942719	3.119719	0	NA	NA	Length_based
51	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.45	29.9	TL	NA	0.83	2.02	2.85	Pauly	NA	NA	13.7	1.36	NA	19.93333333	Yes	Yes	No	NA	Reuben	1992	0.005246275	3.2069	0	NA	NA	Length_based
52	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.78	24.8	TL	NA	1.26	2.62	3.88	Pauly	NA	NA	13.7	1.03	NA	16.53333333	Yes	Yes	No	NA	Reuben	1992	0.006706983	3.136242471	0	NA	NA	Length_based
53	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.86	23	TL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.33333333	Yes	Yes	No	no_paper	Bhargava	1988	NA	NA	NA	NA	NA	Length_based
54	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	1.22	27.12	TL	NA	2.08	1.71	3.79	Pauly	NA	NA	NA	NA	NA	18.08	Yes	Yes	No	NA	Manojkumar	2007	0.00053629	2.6317	0	NA	374	Length_based
55	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.7	23.187	TL	-0.1628	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.458	Yes	Yes	No	NA	Rohit_and_Shanbhogue	2005	NA	NA	NA	NA	NA	Length_based
56	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.43	24.8	TL	-0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.53333333	Yes	Yes	No	no_paper	Gjosaeter_and_Sousa	1983	NA	NA	NA	NA	NA	Length_based
57	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.42	24.4	TL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.26666667	Yes	Yes	No	no_paper	Gjosaeter_and_Sousa	1983	0.006808	3.121	0	NA	NA	Length_based
58	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.46	26	TL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.33333333	Yes	Yes	No	no_paper	Gjosaeter_and_Sousa	1983	0.014555	2.837	0	NA	NA	Length_based
59	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.57	27.8	TL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.53333333	Yes	Yes	No	no_paper	Sousa_and_Gjosaeter	1987	NA	NA	NA	NA	NA	Length_based
60	Decapterus_russelli	2	Benthopelagic	Carangidae	Carangiformes	B	0.68	27.3	TL	-0.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.2	Yes	Yes	No	NA	Sousa	1992	NA	NA	NA	NA	106323	Length_based
61	Decapterus_macrosoma	3	Pelagic	Carangidae	Carangiformes	B	0.456	37.84	TL	-0.771	NA	NA	NA	NA	NA	NA	23.84	2	NA	25.22666667	Yes	Yes	No	NA	Shiraishi	2010	NA	NA	NA	NA	508	Non_linear
62	Decapterus_macrosoma	3	Pelagic	Carangidae	Carangiformes	B	NA	NA	TL	NA	1.72	2.29	4.01	Pauly	15.3	NA	NA	NA	NA	18	Yes	Yes	No	NA	lngles_and_Pauly	1984	NA	NA	NA	NA	5069	Length_based
63	Decapterus_macrosoma	3	Pelagic	Carangidae	Carangiformes	B	NA	NA	TL	NA	1.47	3.24	4.71	Pauly	16.7	NA	NA	NA	NA	17.86666667	Yes	Yes	No	NA	lngles_and_Pauly	1984	NA	NA	NA	NA	25023	Length_based
64	Decapterus_macrosoma	3	Pelagic	Carangidae	Carangiformes	B	NA	NA	TL	NA	1.85	5.04	6.89	Pauly	19.2	NA	NA	NA	NA	17.66666667	Yes	Yes	No	NA	lngles_and_Pauly	1984	NA	NA	NA	NA	13529	Length_based
65	Decapterus_macrosoma	3	Pelagic	Carangidae	Carangiformes	B	NA	NA	TL	NA	1.61	4.85	6.46	Pauly	19.5	NA	NA	NA	NA	18.53333333	Yes	Yes	No	NA	lngles_and_Pauly	1984	NA	NA	NA	NA	34836	Length_based
66	Decapterus_macrosoma	3	Pelagic	Carangidae	Carangiformes	B	1.25	27.5	TL	NA	2.12	8.38	10.5	Pauly	17.7	NA	NA	NA	NA	18.33333333	Yes	Yes	No	NA	lngles_and_Pauly	1984	NA	NA	NA	NA	625	Length_based
67	Decapterus_macrosoma	3	Pelagic	Carangidae	Carangiformes	B	NA	NA	TL	NA	1.1	3.7	4.8	Pauly	16.6	NA	NA	NA	NA	22	Yes	Yes	No	NA	lngles_and_Pauly	1984	NA	NA	NA	NA	8108	Length_based
68	Decapterus_macrosoma	3	Pelagic	Carangidae	Carangiformes	B	NA	NA	TL	NA	2.12	9.45	11.57	Pauly	13.9	NA	NA	NA	NA	16.66666667	Yes	Yes	No	NA	lngles_and_Pauly	1984	NA	NA	NA	NA	1949	Length_based
69	Decapterus_macrosoma	3	Pelagic	Carangidae	Carangiformes	B	NA	NA	TL	NA	1.68	2.46	4.14	Pauly	16.6	NA	NA	NA	NA	17	Yes	Yes	No	NA	lngles_and_Pauly	1984	NA	NA	NA	NA	3079	Length_based
70	Decapterus_macrosoma	3	Pelagic	Carangidae	Carangiformes	B	NA	NA	TL	NA	1.62	3.64	5.26	Pauly	13.3	NA	NA	NA	NA	17	Yes	Yes	No	NA	lngles_and_Pauly	1984	NA	NA	NA	NA	311	Length_based
71	Decapterus_macrosoma	3	Pelagic	Carangidae	Carangiformes	B	0.65	33	TL	NA	1.31	2.07	3.38	Pauly	17.5	NA	NA	NA	NA	22	Yes	Yes	No	NA	lngles_and_Pauly	1984	NA	NA	NA	NA	16919	Length_based
72	Decapterus_macrosoma	3	Pelagic	Carangidae	Carangiformes	B	NA	NA	TL	NA	1.47	4.32	5.79	Pauly	19.5	NA	NA	NA	NA	20	Yes	Yes	No	NA	lngles_and_Pauly	1984	NA	NA	NA	NA	11985	Length_based
73	Decapterus_macrosoma	3	Pelagic	Carangidae	Carangiformes	B	0.65	31.5	TL	NA	1.33	2.41	3.74	Pauly	19.2	NA	NA	NA	NA	21	Yes	Yes	No	NA	lngles_and_Pauly	1984	NA	NA	NA	NA	3349	Length_based
74	Decapterus_macrosoma	3	Pelagic	Carangidae	Carangiformes	B	0.71	31.5	TL	NA	1.41	2.39	3.8	Pauly	16.5	NA	NA	NA	NA	21	Yes	Yes	No	NA	lngles_and_Pauly	1984	NA	NA	NA	NA	9781	Length_based
75	Decapterus_macrosoma	3	Pelagic	Carangidae	Carangiformes	B	0.98	25.4	TL	NA	1.86	4.33	6.19	Pauly	16.6	NA	NA	NA	NA	16.93333333	Yes	Yes	No	NA	Dwippongo	1986	NA	NA	NA	NA	5692	Length_based
76	Decapterus_macrosoma	3	Pelagic	Carangidae	Carangiformes	B	1.7	25.773	TL	NA	NA	NA	NA	NA	NA	NA	15.4	NA	NA	17.182	Yes	Yes	No	NA	Ambar_Prihartini	2006	0.0386	2.978	0	NA	610	Length_based
77	Decapterus_macrosoma	3	Pelagic	Carangidae	Carangiformes	B	0.53	26.928	TL	NA	NA	NA	NA	NA	NA	NA	14.9	NA	NA	17.952	Yes	Yes	No	NA	Ambar_Prihartini	2006	0.092	2.932	0	NA	1025	Length_based
78	Decapterus_macrosoma	3	Pelagic	Carangidae	Carangiformes	B	0.75	25.96	TL	-0.0777	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.30666667	Yes	Yes	No	NA	Rohit_and_Shanbhogue	2005	NA	NA	NA	NA	NA	Length_based
79	Decapterus_macrosoma	3	Pelagic	Carangidae	Carangiformes	B	0.9	25.7	TL	-0.0215	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.13333333	Yes	Yes	No	NA	Balasubramanian	2000	0.00767538	3.46231	0	NA	458	Length_based
80	Decapterus_macrosoma	3	Pelagic	Carangidae	Carangiformes	B	0.6	26	TL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.33333333	Yes	Yes	No	no_paper	Sousa_and_Gjosaeter	1987	NA	NA	NA	NA	50	NA
81	Decapterus_macrosoma	3	Pelagic	Carangidae	Carangiformes	B	0.82	25.2	TL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.8	Yes	Yes	No	NA	Sousa	1992	NA	NA	NA	NA	69067	Length_based
82	Atrobucca_nibe	4	Demersal	Sciaenidae	Acanthuriformes	B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	Yes	Yes	No	NA	¡Ói????	2008	0.00692	3.0995	0	NA	570	Ford_Walford
83	Atrobucca_nibe	4	Demersal	Sciaenidae	Acanthuriformes	B	0.35	37.1	TL	-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.73333333	Yes	Yes	No	NA	Pauly	1978	NA	NA	NA	NA	16	Non_linear
84	Atrobucca_nibe	4	Demersal	Sciaenidae	Acanthuriformes	B	0.52	37.1	TL	-0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.73333333	Yes	Yes	No	NA	Pauly	1978	NA	NA	NA	NA	1954	Non_linear
85	Atrobucca_nibe	4	Demersal	Sciaenidae	Acanthuriformes	M	0.24	40.1	TL	-0.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.73333333	Yes	Yes	No	NA	Pauly	1978	NA	NA	NA	NA	1443.6	Non_linear
86	Atrobucca_nibe	4	Demersal	Sciaenidae	Acanthuriformes	B	0.25	43.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.8	Yes	Yes	Yes	no_paper	Erzini	1991	NA	NA	NA	NA	NA	NA
87	Atrobucca_nibe	4	Demersal	Sciaenidae	Acanthuriformes	F	0.23	45	TL	-1.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	Yes	Yes	No	NA	Pauly	1978	NA	NA	NA	NA	1764.4	Non_linear
88	Atrobucca_nibe	4	Demersal	Sciaenidae	Acanthuriformes	B	0.3	46.9	TL	-1.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	31.26666667	Yes	Yes	No	NA	Pauly	1978	NA	NA	NA	NA	71	Non_linear
89	Atrobucca_nibe	4	Demersal	Sciaenidae	Acanthuriformes	B	0.23	50.9	TL	-1.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.93333333	Yes	Yes	No	NA	Pauly	1978	NA	NA	NA	NA	784	Non_linear
90	Atrobucca_nibe	4	Demersal	Sciaenidae	Acanthuriformes	B	0.18	57.3	TL	-1.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.2	Yes	Yes	No	NA	Pauly	1978	NA	NA	NA	NA	1954	Non_linear
91	Atrobucca_nibe	4	Demersal	Sciaenidae	Acanthuriformes	B	0.12	58.5	TL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39	Yes	Yes	No	NA	Pauly	1978	NA	NA	NA	NA	NA	NA
92	Atrobucca_nibe	4	Demersal	Sciaenidae	Acanthuriformes	B	0.15	58.7	TL	-1.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	39.13333333	Yes	Yes	No	NA	Pauly	1978	NA	NA	NA	NA	44	Non_linear
93	Psenopsis_anomala	5	Benthopelagic	Centrolophidae	Scombriformes	B	0.45	33.75314861	TL	-0.63	0.81	3.06	3.87	Pauly	NA	NA	NA	NA	NA	22.50209907	Yes	Yes	No	NA	Ju_Fen	2006	0.028346517	2.9223	0	NA	2164	Length_based
94	Psenopsis_anomala	5	Benthopelagic	Centrolophidae	Scombriformes	B	0.34	29.97481108	TL	-0.95	0.841	1.523	2.364	NA	NA	NA	NA	NA	NA	19.98320739	Yes	Yes	No	no_paper	Du_Jian_guo	2010	NA	NA	NA	NA	NA	NA
95	Psenopsis_anomala	5	Benthopelagic	Centrolophidae	Scombriformes	B	0.34	34.61538462	TL	-1.674	NA	NA	NA	NA	NA	NA	NA	NA	4	23.07692308	Yes	Yes	No	NA	Sakamoto_and_Suzuki	1974	0.047871288	2.8912	0	NA	203	Ford_Walford
96	Psenopsis_anomala	5	Benthopelagic	Centrolophidae	Scombriformes	B	0.54	28	NA	NA	1.26	4.74	6.5	Pauly	NA	NA	NA	NA	NA	18.66666667	Yes	Yes	Yes	no_paper	Ahmad	2003	NA	NA	NA	NA	292	Length_based
97	Psenopsis_anomala	5	Benthopelagic	Centrolophidae	Scombriformes	B	0.69	19.2	NA	-0.67	NA	2	NA	NA	NA	NA	NA	NA	NA	12.8	Yes	Yes	No	no_paper	Wang	2010	NA	NA	NA	NA	NA	NA
98	Psenopsis_anomala	5	Benthopelagic	Centrolophidae	Scombriformes	F	0.425	23.65	TL	-1.049	NA	NA	NA	NA	NA	NA	NA	NA	5	15.76666667	Yes	Yes	No	NA	Hung	2011	0.0248	2.838	0	NA	340	Ford_Walford
99	Psenopsis_anomala	5	Benthopelagic	Centrolophidae	Scombriformes	M	0.695	20.95	TL	-0.54	NA	NA	NA	NA	NA	NA	NA	NA	5	13.96666667	Yes	Yes	No	NA	Hung	2011	0.0424	2.647	0	NA	363	Ford_Walford
100	Muraenesox_cinereus	6	Demersal	Muraenesocidae	Anguilliformes	M	0.33	80.7	TL	-0.06	NA	NA	NA	NA	NA	NA	NA	NA	15	53.8	Yes	Yes	No	NA	Shingo	2013	NA	NA	NA	NA	147	Non_linear
101	Muraenesox_cinereus	6	Demersal	Muraenesocidae	Anguilliformes	F	0.19	126.4	TL	-0.15	NA	NA	NA	NA	NA	NA	NA	NA	15	84.26666667	Yes	Yes	No	NA	Shingo	2013	NA	NA	NA	NA	328	Non_linear
